title,category
dinner outing,Food
lunch payment,Food
mcdonalds meal 1244,Food
zomato delivery,Food
zomato delivery,Food
swiggy order 6239,Food
mcdonalds meal,Food
burger king,Food
coffee shop,Food
dominos pizza 2809,Food
restaurant bill,Food
dominos pizza 2788,Food
burger king,Food
coffee shop 4835,Food
swiggy order 2074,Food
mcdonalds meal,Food
coffee shop,Food
biryani night 5498,Food
coffee shop 1042,Food
biryani night 7790,Food
biryani night,Food
mcdonalds meal,Food
dominos pizza,Food
dominos pizza 7238,Food
biryani night,Food
coffee shop,Food
restaurant bill 9138,Food
dinner outing 3134,Food
swiggy order 2185,Food
dominos pizza 5394,Food
mcdonalds meal 9186,Food
restaurant bill,Food
coffee shop,Food
biryani night,Food
restaurant bill,Food
restaurant bill,Food
swiggy order 3868,Food
zomato delivery,Food
lunch payment 8878,Food
restaurant bill 292,Food
biryani night,Food
restaurant bill 7858,Food
burger king,Food
dinner outing 6201,Food
mcdonalds meal 8766,Food
mcdonalds meal,Food
dinner outing 3915,Food
restaurant bill,Food
biryani night 9771,Food
swiggy order,Food
dominos pizza,Food
dominos pizza,Food
dinner outing,Food
mcdonalds meal,Food
lunch payment 6735,Food
lunch payment,Food
restaurant bill,Food
dominos pizza 5844,Food
dominos pizza 1421,Food
biryani night 2113,Food
restaurant bill 2411,Food
mcdonalds meal 5367,Food
mcdonalds meal 8241,Food
restaurant bill,Food
coffee shop 862,Food
zomato delivery,Food
burger king 839,Food
restaurant bill 2922,Food
dominos pizza,Food
swiggy order 2283,Food
biryani night,Food
swiggy order,Food
mcdonalds meal,Food
lunch payment 8321,Food
coffee shop,Food
zomato delivery,Food
mcdonalds meal 8851,Food
restaurant bill 7406,Food
dinner outing,Food
swiggy order,Food
dinner outing,Food
swiggy order 341,Food
dinner outing,Food
swiggy order 5573,Food
swiggy order,Food
mcdonalds meal 5306,Food
coffee shop,Food
zomato delivery 4728,Food
lunch payment 8472,Food
restaurant bill,Food
swiggy order 7912,Food
biryani night 506,Food
mcdonalds meal 3270,Food
dominos pizza,Food
swiggy order,Food
zomato delivery,Food
mcdonalds meal 504,Food
coffee shop,Food
mcdonalds meal,Food
dominos pizza,Food
dominos pizza,Food
mcdonalds meal,Food
mcdonalds meal 5595,Food
burger king,Food
biryani night,Food
swiggy order,Food
swiggy order 2007,Food
swiggy order,Food
dominos pizza,Food
coffee shop,Food
burger king,Food
coffee shop 1438,Food
swiggy order,Food
dinner outing 5365,Food
burger king 1979,Food
zomato delivery,Food
dominos pizza 4268,Food
zomato delivery 749,Food
burger king,Food
zomato delivery 6842,Food
mcdonalds meal 3034,Food
dominos pizza,Food
swiggy order 9051,Food
dinner outing 7983,Food
lunch payment,Food
swiggy order 3548,Food
zomato delivery 5692,Food
burger king 2008,Food
lunch payment 640,Food
dominos pizza 9309,Food
biryani night 8665,Food
zomato delivery 1450,Food
restaurant bill,Food
dominos pizza,Food
zomato delivery,Food
zomato delivery,Food
biryani night,Food
dominos pizza,Food
burger king 2289,Food
zomato delivery 9960,Food
burger king,Food
burger king 9056,Food
lunch payment 5467,Food
lunch payment,Food
zomato delivery 5035,Food
burger king,Food
biryani night 5579,Food
restaurant bill,Food
zomato delivery 9708,Food
biryani night 8620,Food
swiggy order,Food
dominos pizza 9732,Food
burger king 2249,Food
mcdonalds meal 8009,Food
biryani night,Food
swiggy order,Food
mcdonalds meal,Food
coffee shop 4955,Food
coffee shop 4953,Food
lunch payment,Food
dinner outing,Food
coffee shop 9099,Food
zomato delivery 6851,Food
coffee shop,Food
dominos pizza,Food
dominos pizza 1980,Food
swiggy order,Food
coffee shop,Food
biryani night 8133,Food
dinner outing,Food
lunch payment 8923,Food
zomato delivery,Food
burger king,Food
coffee shop,Food
swiggy order,Food
burger king 6606,Food
mcdonalds meal 5750,Food
mcdonalds meal 1568,Food
burger king 7837,Food
restaurant bill 6473,Food
restaurant bill 434,Food
swiggy order 1988,Food
mcdonalds meal 4452,Food
burger king 1652,Food
swiggy order 1975,Food
burger king,Food
coffee shop 2087,Food
dinner outing 8008,Food
swiggy order,Food
biryani night,Food
biryani night 6284,Food
restaurant bill,Food
swiggy order 9287,Food
burger king,Food
dinner outing,Food
zomato delivery,Food
mcdonalds meal 6601,Food
restaurant bill,Food
lunch payment,Food
zomato delivery 4940,Food
burger king 6772,Food
swiggy order 7037,Food
dinner outing,Food
burger king,Food
coffee shop,Food
zomato delivery,Food
zomato delivery,Food
restaurant bill 8834,Food
lunch payment,Food
mcdonalds meal 2615,Food
dominos pizza,Food
lunch payment,Food
restaurant bill 9210,Food
biryani night,Food
swiggy order 3266,Food
zomato delivery,Food
biryani night,Food
lunch payment 7208,Food
swiggy order,Food
biryani night,Food
mcdonalds meal 3923,Food
biryani night 4196,Food
coffee shop,Food
dinner outing 8017,Food
coffee shop 4122,Food
dinner outing,Food
mcdonalds meal,Food
dinner outing,Food
lunch payment,Food
dinner outing 6713,Food
burger king 1903,Food
dinner outing 7926,Food
restaurant bill,Food
restaurant bill 6683,Food
swiggy order 7955,Food
restaurant bill 6559,Food
restaurant bill,Food
dinner outing 8271,Food
dinner outing,Food
biryani night 1531,Food
restaurant bill,Food
zomato delivery,Food
lunch payment,Food
dominos pizza 1055,Food
swiggy order 4942,Food
biryani night,Food
dominos pizza 7169,Food
dinner outing,Food
coffee shop 5200,Food
coffee shop,Food
restaurant bill,Food
mcdonalds meal,Food
coffee shop,Food
lunch payment,Food
burger king,Food
biryani night 9358,Food
dinner outing 2694,Food
biryani night 5700,Food
dinner outing,Food
burger king,Food
lunch payment 8160,Food
zomato delivery 6096,Food
dinner outing,Food
dinner outing 7723,Food
dominos pizza,Food
zomato delivery 5000,Food
lunch payment,Food
coffee shop 5019,Food
restaurant bill 5731,Food
mcdonalds meal 6443,Food
dominos pizza,Food
swiggy order 9099,Food
restaurant bill,Food
swiggy order,Food
restaurant bill 5080,Food
dinner outing 9596,Food
mcdonalds meal 4959,Food
mcdonalds meal 8901,Food
lunch payment,Food
dinner outing,Food
coffee shop 4323,Food
zomato delivery,Food
biryani night,Food
burger king,Food
swiggy order 9362,Food
dominos pizza 4390,Food
biryani night,Food
dinner outing,Food
zomato delivery 4736,Food
swiggy order 9279,Food
biryani night 7297,Food
dinner outing,Food
biryani night,Food
zomato delivery 4617,Food
lunch payment,Food
dinner outing 1891,Food
lunch payment,Food
restaurant bill,Food
biryani night,Food
restaurant bill 390,Food
swiggy order 2367,Food
dominos pizza 9419,Food
restaurant bill,Food
restaurant bill 7404,Food
swiggy order,Food
restaurant bill,Food
lunch payment 339,Food
dominos pizza,Food
coffee shop,Food
zomato delivery,Food
mcdonalds meal 6287,Food
swiggy order,Food
lunch payment,Food
mcdonalds meal 4488,Food
dominos pizza,Food
biryani night 2632,Food
burger king 4577,Food
restaurant bill 2924,Food
dinner outing 6346,Food
mcdonalds meal,Food
restaurant bill 7802,Food
burger king,Food
lunch payment,Food
dominos pizza 6624,Food
biryani night 2485,Food
restaurant bill,Food
swiggy order,Food
biryani night 2231,Food
coffee shop 7394,Food
biryani night 5067,Food
restaurant bill,Food
mcdonalds meal 2323,Food
swiggy order,Food
biryani night 751,Food
swiggy order 9480,Food
zomato delivery 38,Food
dominos pizza 8691,Food
restaurant bill,Food
dinner outing 588,Food
dinner outing 1885,Food
biryani night,Food
dinner outing 7627,Food
dinner outing,Food
biryani night,Food
biryani night 7601,Food
biryani night 5842,Food
burger king 6730,Food
lunch payment,Food
restaurant bill,Food
biryani night,Food
lunch payment,Food
zomato delivery 2359,Food
zomato delivery 223,Food
mcdonalds meal,Food
burger king 8899,Food
dinner outing,Food
coffee shop,Food
dominos pizza 1246,Food
zomato delivery 7825,Food
coffee shop 9897,Food
swiggy order 2904,Food
burger king 9907,Food
burger king 9005,Food
burger king 1664,Food
restaurant bill 5780,Food
burger king,Food
zomato delivery,Food
mcdonalds meal,Food
zomato delivery 696,Food
mcdonalds meal 3437,Food
dinner outing 2446,Food
biryani night 846,Food
mcdonalds meal 8628,Food
mcdonalds meal,Food
dinner outing 2873,Food
dominos pizza,Food
coffee shop,Food
biryani night 9803,Food
biryani night,Food
lunch payment 9390,Food
biryani night,Food
coffee shop,Food
dinner outing 4424,Food
mcdonalds meal,Food
mcdonalds meal 5912,Food
dominos pizza 3653,Food
coffee shop,Food
biryani night,Food
mcdonalds meal,Food
coffee shop 941,Food
biryani night 7648,Food
coffee shop,Food
coffee shop 8554,Food
